author,name,price
（美）斯塔夫里阿诺斯  著，吴象婴  等译,全球通史:从史前史到21世纪（第7版修订版上下册，赠送全球通史主题笔记本）,96.00
【美】罗伯特・清崎,富爸爸穷爸爸（旧版售罄，请购买新版）,36.00
(英) 罗尔德・达尔 著； (英) 昆汀・布莱克绘；代维 译。,罗尔德・达尔作品典藏（彩图拼音版）―了不起的狐狸爸爸,14.00
【日】松田孝,孩子看的编程启蒙书（第1辑，共4册）,49.00
（美曼狄诺　等著，张权　编译  知书达礼 出品,羊皮卷大全集（畅销珍藏本）,31.20
（美）托马斯・戈登　著，琼林　译，东方神鸟 出品,PET  P.E.T.父母效能训练:让亲子沟通如此高效而简单,19.30
巫哲,撒野（巫哲新书）,32.40
乔治・赛尔登,不老泉文库 3 时代广场的蟋蟀,18.00
路遥  著，新经典 出品,人生（影响青年的励志名篇，故事里的中国，董卿、马云、贾樟柯倾情推荐！）,19.80
（美）梭罗 知书达礼  出品,瓦尔登湖(珍藏本) 朗读者朗读书目,24.90
[美] 朵琳・克罗宁 著；[美] 哈利・布里斯 绘；陈宏淑 译,信谊世界精选图画书・蚯蚓的日记,29.44
海豚传媒，培生集团 出品,培生幼儿英语：预备级（共35册英语绘本，3-5岁幼儿园英文绘本，零基础英语阅读启蒙）,55.00
冯骥才,俗世奇人（全二册）俗世奇人系列作品36篇入选中小学生阅读指导目录,40.00
张瑞征,小学生必背文言文 学生版 语文课程标准 建议篇目,14.30
米歇尔・奥巴马 MICHELLE ROBINSON OBAMA,成为becoming：米歇尔・奥巴马自传（精装版）2019读者年度十大影响力图书、年度人物传记作品！美国前第一夫人米歇尔亲笔自传！全球销售超1000万册！,98.00
《图书天下・国家地理系列》编委会,全球最美的100个地方 图说天下 国家地理,17.50
李宗吾 著，新华先锋 出品,厚黑学(李宗吾著),19.30
李诞 著，博集天卷 出品,笑场（《吐槽大会》总策划、《奇葩说》导师李诞作品，精装版）,32.90
阳知行,墨菲定律,42.20
鲁迅　著,朝花夕拾（语文教材“名著导读经典”・七年级上。收录《朝花夕拾》+《野草》）,14.40
[英]乔安・弗莱彻,埃及四千年（破解四千年王朝兴衰秘密的里程碑式巨作）,115.60
[日]夏目漱石 著，曹曼 译，果麦文化 出品,我是猫（陈乔恩微博晒书，梁文道《八分》推荐译本。日本“国民大作家”夏目漱石代表作，一只萌猫的吐槽日常。青年译者曹曼口碑译本）,39.80
（法）凡尔纳著,八十天环游地球(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 160000多名读者热评！,13.40
郑渊洁　著,郑渊洁四大名传：鲁西西传（含罐头小人）,12.00
文：（日）季巳明代 著  图：（日）长谷川香子 绘,第一次自己睡觉,29.10
曹文轩,草房子（当当定制版）,18.80
北猫,米小圈上学记四年级（套装共4册）,100.00
北猫,米小圈上学记三年级（套装共4册）,100.00
（意）亚米契斯,爱的教育 快乐读书吧 六年级上册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 280000多名读者热评！,12.60
[日] 铃木典丈/著   彭懿/译,我的神奇马桶（奇思妙趣三部曲）（全3册）,61.90
"马克・李维（Marc Levy） ,博集天卷 出品",偷影子的人（全新升级版）,39.80
叶圣陶著,稻草人 快乐读书吧 三年级上册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 300000多名读者热评！,13.40
"（明）施耐庵 ,罗贯中 著",水浒传（上下册，全两册，中国古典文学读本丛书）（团购电话:400-1066666转6）,29.10
[美]贾雷德・戴蒙德著 谢延光译,枪炮、病菌与钢铁――人类社会的命运(修订版）,38.50
〔春秋〕孙武  等著    富强  改编,孙子兵法・三十六计（少年儿童版：完整原文+详细注释+准确翻译+历史故事，一本少年儿童容易读懂的兵书）,20.00
译者： 沈丹丹、柳恋清 等,从小爱科学・有趣的物理（全16册）,99.80
法] 阿梅莉・卡斯唐（法）纳塔莉・佩泰斯 著,去旅行系列（全2册）深度知识体系的人文地理百科书,189.00
（法）玛丽.居里 著、陈筱卿  译 ；谦德文化出品,居里夫人传 初中语文八年级阅读书目 读者热评超过10万条的畅销,19.70
（美）尼娜兰登　　著，张芳　译,猜猜我是谁系列套装（全4册）,60.00
〔奥〕斯蒂芬・茨威格 著  高中甫 韩耀成 译,一个陌生女人的来信（茨威格中短篇小说选，豆瓣9.4高评分译作，德文直译无删节）,18.70
（美）海伦・帕尔默　著,九型人格 : 职场高品质沟通的艺术,35.40
王小波 李银河 著，博集天卷 出品,爱你就像爱生命（精装彩插典藏版）,36.40
（法）儒勒凡尔纳,海底两万里 七年级下册推荐阅读(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 330000多名读者热评！,12.60
[美] 默娜・B.舒尔博士，[美] 特里萨・弗伊・迪吉若尼莫 著；张雪兰 译,如何培养孩子的社会能力,30.00
[日] 中江嘉男 文  [日]上野纪子 图， 爱心树童书  出品,可爱的鼠小弟・平装（1-22）,231.60
徐晓燕 黄纷纷 蒋佳宁 著，布克布克 绘，小当当童书馆 出品,世界博物馆奇妙之旅（全5册，为孩子打造的博物通识启蒙绘本，世界文明的纸上艺术之路）,96.10
戴维・伽特森,雪落香杉树,39.00
郑渊洁　著,郑渊洁四大名传（全4册）,30.00
（加）蒙哥马利著,绿山墙的安妮(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 220000多名读者热评！,13.40
（美）乔安娜・柯尔  文，（美）布鲁斯・迪根  图；,神奇校车・手工益智版（全8册）,76.79
[英]罗杰・哈格里维斯　著，童趣出版有限公司 编,奇先生妙小姐・全新译本（全83册）,229.00
玖月，白马时光 出品,少年的你，如此美丽（易烊千玺主演改编电影《少年的你》，10月25日邀你共赴少年之约！）,27.40
思睿 编著,唐诗三百首 小学生 成长 绘本 注音版,28.80
"马伯庸 著,博集天卷 出品",显微镜下的大明（张若昀、王阳、戚薇、吴刚主演同名影视剧原著，全新明朝历史书）,52.00
张德芬 著，博集天卷 出品,遇见未知的自己,27.20
（英）夏洛蒂勃朗特　著，宋兆霖　译,简爱（英国女作家夏洛蒂・勃朗特的长篇小说，翻译家宋兆霖未删节全译本）,25.30
王树增,长征  修订版（全2册） 入选八年级上册语文阅读书目人民文学出版社,70.60
毓菖编写，闻钟主编,中国古代寓言故事 快乐读书吧 三年级下册推荐课外阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 26万读者热评！,11.70
哈珀・李　著  李育超 译,杀死一只知更鸟（豆瓣9.2，关于勇气与正义的成长教科书，影响全球5000万家庭的“教养宝典”，奥巴马、贝克汉姆、奥普拉鼎力推荐）,48.00
(日)古田足日,一年级大个子二年级小个子（注音版）/古田足日经典作品,14.90
